id_avis,date,source,produit,texte,sentiment,note,langue
AV0141,2026-01-31,mobile,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/141",positif,5,fr
AV0142,2026-08-02,sav,Écouteurs AirSound,Le produit ne fonctionne déjà plus. #avis,negatif,2,fr
AV0143,2026-08-24,réseaux_sociaux,Tablette TabPlus,Service  client  réactif  et  commande  reçue  rapidement.,positif,5,fr
AV0144,2026-07-17,sav,SmartWatch Pro,Le produit correspond globalement à la description. 😊,neutre,3,fr
AV0145,2026-03-14,email,Tablette TabPlus,Le produit ne fonctionne déjà plus.,negatif,2,fr
AV0146,2026-05-18,sav,SmartWatch Pro,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/146,positif,5,fr
AV0147,2026-08-11,mobile,Ordinateur NovaBook,@client Excellent rapport qualité-prix.,positif,5,fr
AV0148,2026-01-12,email,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement. #avis",positif,5,fr
AV0149,2026-05-07,web,SmartPhone Y,Service client réactif et commande reçue rapidement. !!!,positif,5,fr
AV0150,2026-01-26,réseaux_sociaux,Écouteurs AirSound,"Très bon produit, je recommande.",positif,5,fr
AV0151,2026-01-20,sav,SmartWatch Pro,"Très bon produit, je recommande.",positif,5,fr
AV0152,2026-08-07,réseaux_sociaux,Écouteurs AirSound,"@client Très bon produit, la qualité est au rendez-vous.",positif,5,fr
AV0153,2026-01-10,réseaux_sociaux,SmartPhone X,Qualité décevante pour ce prix.,negatif,2,fr
AV0154,2026-04-22,web,Ordinateur NovaBook,"JE RECOMMANDE VIVEMENT, TOUT FONCTIONNE PARFAITEMENT.",positif,5,fr
AV0155,2026-06-27,email,SmartPhone X,L'utilisation est assez simple. !!!,neutre,3,fr
AV0156,2026-04-06,sav,SmartPhone Y,"@client Très bonne expérience, simple et efficace.",positif,4,fr
AV0157,2026-02-13,mobile,SmartPhone X,Très satisfait de mon achat 👍 !!!,positif,5,fr
AV0158,2026-05-08,réseaux_sociaux,SmartPhone Y,Très  satisfait  de  mon  achat  👍,positif,5,fr
AV0159,2026-06-20,web,Écouteurs AirSound,Excellent rapport qualité-prix. 😊,positif,5,fr
AV0160,2026-04-24,email,Tablette TabPlus,"PRODUIT REÇU ENDOMMAGÉ, JE SUIS MÉCONTENT.",negatif,2,fr
AV0161,2026-08-05,email,SmartPhone Y,"Très bonne expérience, simple et efficace. https://example.com/commande/161",positif,5,fr
AV0162,2026-04-08,réseaux_sociaux,SmartWatch Pro,La  batterie  se  décharge  beaucoup  trop  vite.,negatif,2,fr
AV0163,2026-03-12,web,Tablette TabPlus,"Produit excellent, je suis très satisfait. #avis",positif,5,fr
AV0164,2026-08-02,email,SmartPhone Y,Très déçu par ce produit. https://example.com/commande/164,negatif,2,fr
AV0165,2026-06-08,email,Ordinateur NovaBook,"Je  recommande  vivement,  tout  fonctionne  parfaitement.",positif,5,fr
AV0166,2026-06-10,web,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. !!!,neutre,4,fr
AV0167,2026-05-29,email,Ordinateur NovaBook,Excellent rapport qualité-prix.,positif,5,fr
AV0168,2026-02-14,mobile,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. #avis,positif,5,fr
AV0169,2026-08-22,email,SmartPhone Y,"Je viens de recevoir le produit, à voir dans le temps.",neutre,3,fr
AV0170,2026-07-25,web,Écouteurs AirSound,"@client Très bonne expérience, simple et efficace.",positif,5,fr
AV0171,2026-08-05,réseaux_sociaux,SmartWatch Pro,La livraison a été très longue. #avis,negatif,1,fr
AV0172,2026-05-18,web,Écouteurs AirSound,"Produit excellent, je suis très satisfait. 😊",positif,5,fr
AV0173,2026-07-30,email,SmartPhone X,Très satisfait de mon achat 👍 #avis,positif,5,fr
AV0174,2026-03-25,réseaux_sociaux,SmartPhone Y,Le produit correspond globalement à la description.,neutre,3,fr
AV0175,2026-01-30,mobile,SmartPhone X,"Très bonne expérience, simple et efficace. #avis",positif,5,fr
AV0176,2026-01-25,mobile,Tablette TabPlus,QUALITÉ DÉCEVANTE POUR CE PRIX.,negatif,2,fr
AV0177,2026-04-18,réseaux_sociaux,Ordinateur NovaBook,La batterie tient vraiment bien et l'écran est superbe.,positif,5,fr
AV0178,2026-08-02,sav,Tablette TabPlus,LA QUALITÉ EST CORRECTE SANS ÊTRE EXCEPTIONNELLE.,neutre,3,fr
AV0179,2026-02-25,sav,Écouteurs AirSound,"@client Produit excellent, je suis très satisfait.",positif,5,fr
AV0180,2026-05-20,email,SmartPhone X,@client La batterie se décharge beaucoup trop vite.,negatif,2,fr
AV0181,2026-01-24,mobile,Ordinateur NovaBook,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/181",positif,5,fr
AV0182,2026-03-04,mobile,Tablette TabPlus,"@client Produit excellent, je suis très satisfait.",positif,4,fr
AV0183,2026-07-28,mobile,SmartWatch Pro,Très  satisfait  de  mon  achat  👍,positif,5,fr
AV0184,2026-08-08,mobile,SmartPhone Y,Le produit correspond globalement à la description. 😊,neutre,4,fr
AV0185,2026-02-03,web,SmartWatch Pro,"Très bon produit, la qualité est au rendez-vous.",positif,5,fr
AV0186,2026-01-05,mobile,SmartWatch Pro,"@client Je viens de recevoir le produit, à voir dans le temps.",neutre,3,fr
AV0187,2026-07-10,web,Écouteurs AirSound,"PRODUIT PARFAIT, RIEN À SIGNALER.",positif,5,fr
AV0188,2026-04-26,réseaux_sociaux,SmartPhone Y,"PRODUIT PARFAIT, RIEN À SIGNALER.",positif,5,fr
AV0189,2026-06-14,web,SmartPhone X,Le produit ne fonctionne déjà plus. https://example.com/commande/189,negatif,1,fr
AV0190,2026-05-06,sav,SmartPhone X,LE SERVICE CLIENT N'A PAS RÉPONDU À MA DEMANDE.,negatif,2,fr
AV0191,2026-02-02,email,Tablette TabPlus,"PRODUIT REÇU ENDOMMAGÉ, JE SUIS MÉCONTENT.",negatif,2,fr
AV0192,2026-03-17,sav,Tablette TabPlus,Service client réactif et commande reçue rapidement.,positif,5,fr
AV0193,2026-07-04,mobile,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous.",positif,4,fr
AV0194,2026-07-31,sav,Écouteurs AirSound,@client Service client réactif et commande reçue rapidement.,positif,5,fr
AV0195,2026-03-22,email,SmartWatch Pro,La batterie tient vraiment bien et l'écran est superbe. #avis,positif,4,fr
AV0196,2026-01-24,web,SmartPhone X,QUALITÉ DÉCEVANTE POUR CE PRIX.,negatif,2,fr
AV0197,2026-01-16,réseaux_sociaux,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes.,positif,5,fr
AV0198,2026-08-12,sav,Ordinateur NovaBook,@client Service client réactif et commande reçue rapidement.,positif,4,fr
AV0199,2026-04-01,web,Tablette TabPlus,Très satisfait de mon achat 👍 😊,positif,5,fr
AV0200,2026-08-05,web,SmartWatch Pro,Excellent  rapport  qualité-prix.,positif,5,fr
AV0201,2026-05-27,mobile,Écouteurs AirSound,Le produit correspond globalement à la description. 😊,neutre,3,fr
AV0202,2026-01-07,réseaux_sociaux,Ordinateur NovaBook,"Je viens de recevoir le produit, à voir dans le temps.",neutre,4,fr
AV0203,2026-03-11,email,SmartWatch Pro,Le produit correspond globalement à la description. !!!,neutre,3,fr
AV0204,2026-01-18,mobile,Ordinateur NovaBook,Livraison rapide et produit conforme à mes attentes. #avis,positif,5,fr
AV0205,2026-02-25,sav,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous.",positif,4,fr
AV0206,2026-07-04,email,Tablette TabPlus,La batterie tient vraiment bien et l'écran est superbe. 😊,positif,5,fr
AV0207,2026-07-13,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes. !!!,positif,4,fr
AV0208,2026-05-05,réseaux_sociaux,Écouteurs AirSound,L'utilisation est assez simple. #avis,neutre,3,fr
AV0209,2026-03-30,sav,SmartPhone X,"PRODUIT PARFAIT, RIEN À SIGNALER.",positif,5,fr
AV0210,2026-01-12,mobile,Écouteurs AirSound,"Produit parfait, rien à signaler. 😊",positif,5,fr
AV0211,2026-03-19,mobile,SmartPhone Y,Très  déçu  par  ce  produit.,negatif,1,fr
AV0212,2026-01-02,sav,Ordinateur NovaBook,PRODUIT CORRECT POUR SON PRIX.,neutre,3,fr
AV0213,2026-06-30,mobile,Tablette TabPlus,Service client réactif et commande reçue rapidement.,positif,5,fr
AV0214,2026-08-09,web,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous. #avis",positif,5,fr
AV0215,2026-05-27,sav,Ordinateur NovaBook,La batterie tient vraiment bien et l'écran est superbe. #avis,positif,4,fr
AV0216,2026-01-06,email,SmartPhone Y,"Très bon produit, la qualité est au rendez-vous. #avis",positif,5,fr
AV0217,2026-01-23,sav,SmartPhone X,@client L'utilisation est assez simple.,neutre,4,fr
AV0218,2026-04-12,email,Ordinateur NovaBook,"PRODUIT PARFAIT, RIEN À SIGNALER.",positif,5,fr
AV0219,2026-05-11,web,Tablette TabPlus,LIVRAISON RAPIDE ET PRODUIT CONFORME À MES ATTENTES.,positif,5,fr
AV0220,2026-03-02,web,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. !!!,positif,5,fr
AV0221,2026-07-14,web,SmartPhone Y,Très satisfait de mon achat 👍 !!!,positif,5,fr
AV0222,2026-07-13,réseaux_sociaux,Tablette TabPlus,Qualité décevante pour ce prix. https://example.com/commande/222,negatif,2,fr
AV0223,2026-04-23,web,Écouteurs AirSound,La batterie tient vraiment bien et l'écran est superbe. !!!,positif,5,fr
AV0224,2026-04-01,réseaux_sociaux,SmartPhone X,"Très bonne expérience, simple et efficace.",positif,5,fr
AV0225,2026-04-05,email,SmartPhone X,OK,positif,5,fr
AV0226,2026-04-09,sav,Tablette TabPlus,Très satisfait de mon achat 👍,positif,4,fr
AV0227,2026-03-24,réseaux_sociaux,Écouteurs AirSound,Excellent  rapport  qualité-prix.,positif,4,fr
AV0228,2026-07-27,email,Ordinateur NovaBook,EXCELLENT RAPPORT QUALITÉ-PRIX.,positif,4,fr
AV0229,2026-07-01,sav,Écouteurs AirSound,"Produit  excellent,  je  suis  très  satisfait.",positif,5,fr
AV0230,2026-08-23,email,Écouteurs AirSound,@client La batterie tient vraiment bien et l'écran est superbe.,positif,5,fr
AV0231,2026-07-22,email,SmartPhone X,Très satisfait de mon achat 👍,positif,5,fr
AV0232,2026-07-05,réseaux_sociaux,SmartPhone Y,"Très bonne expérience, simple et efficace. 😊",positif,5,fr
AV0233,2026-06-17,sav,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. 😊,positif,5,fr
AV0234,2026-04-07,email,SmartPhone Y,"Très bonne expérience, simple et efficace.",positif,4,fr
AV0235,2026-01-24,sav,Tablette TabPlus,La qualité est correcte sans être exceptionnelle.,neutre,4,fr
AV0236,2026-02-24,email,Écouteurs AirSound,"Très bonne expérience, simple et efficace. !!!",positif,5,fr
AV0237,2026-03-17,web,Tablette TabPlus,LIVRAISON RAPIDE ET PRODUIT CONFORME À MES ATTENTES.,positif,5,fr
AV0238,2026-06-19,email,Tablette TabPlus,"Je viens de recevoir le produit, à voir dans le temps.",neutre,4,fr
AV0239,2026-02-16,réseaux_sociaux,SmartPhone Y,Livraison rapide et produit conforme à mes attentes. !!!,positif,5,fr
AV0240,2026-06-23,mobile,Écouteurs AirSound,@client L'utilisation est assez simple.,neutre,3,fr
AV0241,2026-03-03,email,Écouteurs AirSound,"Je recommande vivement, tout fonctionne parfaitement.",positif,5,fr
AV0242,2026-04-29,email,Écouteurs AirSound,"Mauvaise expérience, je ne recommande pas. https://example.com/commande/242",negatif,1,fr
